"year","month","IMDv","IMDb","Temporality"
2017,1,0.883790688798389,0.578954290862235,ene. 2017
2017,10,0.899155643422058,0.972417402611207,oct. 2017
2017,11,0.917431386236731,0.75377627391616,nov. 2017
2017,12,0.912782135882828,0.573093414537134,dic. 2017
2017,2,0.903217760797784,0.715468549717275,feb. 2017
2017,3,0.911213162776963,0.818552511023258,mar. 2017
2017,4,0.885500870460088,0.848387917127948,abr. 2017
2017,5,0.951535848164917,0.995389056454019,may. 2017
2017,6,0.933949828802205,1,jun. 2017
2017,7,0.903458768275192,0.916803135952912,jul. 2017
2017,8,0.635486980473731,0.697765408263531,ago. 2017
2017,9,0.875403663403615,0.873823336393397,sep. 2017
2018,1,0.844323716185603,0.614540147145655,ene. 2018
2018,10,0.882278536426747,0.756108973423589,oct. 2018
2018,11,0.884154797809862,0.625935997516493,nov. 2018
2018,12,0.841826335577719,0.594158587650674,dic. 2018
2018,2,0.848636029252726,0.610714744886844,feb. 2018
2018,3,0.868882882290946,0.682978696911242,mar. 2018
2018,4,0.91938234857664,0.779697171744486,abr. 2018
2018,5,0.956565047756024,0.78552718245883,may. 2018
2018,6,1,0.819657100137111,jun. 2018
2018,7,0.894079490290903,0.709926078367921,jul. 2018
2018,8,0.678554978160528,0.577734274262016,ago. 2018
2018,9,0.873890131568868,0.761201515041504,sep. 2018
2019,1,0.823815658856062,0.459400752914583,ene. 2019
2019,10,0.814652892425524,0.708246974901434,oct. 2019
2019,11,0.810419959089226,0.604073347037837,nov. 2019
2019,12,0.821296392669109,0.465897211549838,dic. 2019
2019,2,0.868079264226021,0.527442588942891,feb. 2019
2019,3,0.873164724485845,0.559221129374041,mar. 2019
2019,4,0.870654235521231,0.531382938982583,abr. 2019
2019,5,0.941116853284488,0.586271804818705,may. 2019
2019,6,0.904402760426273,0.670797099564615,jun. 2019
2019,7,0.888975081541522,0.637116900984681,jul. 2019
2019,8,0.651377658494269,0.502260544112665,ago. 2019
2019,9,0.8409857640346,0.643493742315928,sep. 2019
2020,1,0.830058416647989,0.55403202018413,ene. 2020
2020,10,0.687010324197995,0.74060542639441,oct. 2020
2020,11,0.532090664489418,0.74268466240005,nov. 2020
2020,12,0.603699733708326,0.595817182060848,dic. 2020
2020,2,0.896505158979694,0.697686741777638,feb. 2020
2020,3,0.359628558854878,0.273436401380986,mar. 2020
2020,4,0,0,abr. 2020
2020,5,0.224375581889994,0.519001410887622,may. 2020
2020,6,0.614821630147118,0.732596929462417,jun. 2020
2020,7,0.66333799252082,0.691679906094881,jul. 2020
2020,8,0.501104169447715,0.541071059196039,ago. 2020
2020,9,0.703942384193948,0.712356734213709,sep. 2020
