"DISTRICTE","NOM","year","IMDv","IMDb"
"01","Ciutat Vella",2017,0.730188075738163,0
"01","Ciutat Vella",2018,0.63509851364733,0.768402324148448
"01","Ciutat Vella",2019,0.670733840650086,0.784904282886303
"01","Ciutat Vella",2020,0.170179757754694,0.553138383681294
"02","Eixample",2017,0.980011492254576,0.446167192170549
"02","Eixample",2018,1,0.42284408059083
"02","Eixample",2019,0.944972368855046,0.427625368716397
"02","Eixample",2020,0.528761693613163,0.41501783761718
"03","Sants-Montjuïc",2017,0.713554864248786,1
"03","Sants-Montjuïc",2018,0.679765080566884,0.803006775789388
"03","Sants-Montjuïc",2019,0.710353362779005,0.413506130567771
"03","Sants-Montjuïc",2020,0.378226597339824,0.407503626951549
"04","Les Corts",2017,0.750820944210811,0
"04","Les Corts",2018,0.728609132392364,0.141518080648693
"04","Les Corts",2019,0.702806769880534,0
"04","Les Corts",2020,0.389070593760157,0.00649108321188847
"05","Sarrià-Sant Gervasi",2017,0.417874396342106,0
"05","Sarrià-Sant Gervasi",2018,0.397441705845126,0.291854706493475
"05","Sarrià-Sant Gervasi",2019,0.431810479974517,0.167870514411021
"05","Sarrià-Sant Gervasi",2020,0.212144239498688,0.149622072325698
"06","Gràcia",2017,0.309622472386958,0
"06","Gràcia",2018,0.290504003154806,0.128140178105784
"06","Gràcia",2019,0.204573175665295,0.155706399975184
"06","Gràcia",2020,0.0827609734464306,0.313109777775747
"07","Horta-Guinardó",2017,0.398205153411438,0
"07","Horta-Guinardó",2018,0.407688221428095,0.11337655283711
"07","Horta-Guinardó",2019,0.383561852962766,0.188166583185482
"07","Horta-Guinardó",2020,0.186394571196459,0.209787409368975
"08","Nou Barris",2017,0.285138916729229,0.182601534832658
"08","Nou Barris",2018,0.212095035516469,0.120611699307092
"08","Nou Barris",2019,0.141502753280287,0.112457101214903
"08","Nou Barris",2020,0.0202437629964358,0.20064220707339
"09","Sant Andreu",2017,0.557264884463373,0.171892187396435
"09","Sant Andreu",2018,0.576916051551271,0.112903685152849
"09","Sant Andreu",2019,0.324595691277413,0.0994549121770595
"09","Sant Andreu",2020,0.239633357874909,0.114894711542168
"10","Sant Martí",2017,0.289958837713419,0.249078555465626
"10","Sant Martí",2018,0.206495521191424,0.196206962536818
"10","Sant Martí",2019,0.180872329817239,0.216742048417108
"10","Sant Martí",2020,0,0.213861829775121
